epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1097.37,0.63753,0.48815,0.98485,0.75861,0.557,0.56805,0.43327,1.15362,1.36497,1.56341,0.000474071,0.000474071,0.000474071
137,1105.23,0.76447,0.57882,1.04097,0.73876,0.55983,0.60807,0.44946,1.16947,1.24833,1.58065,0.000466997,0.000466997,0.000466997
138,1113.62,0.74156,0.56916,1.08916,0.67775,0.64714,0.66314,0.47765,1.22548,1.11865,1.64837,0.000459924,0.000459924,0.000459924
139,1121.53,0.65035,0.57486,1.03842,0.67775,0.64714,0.66314,0.47765,1.22548,1.11865,1.64837,0.00045285,0.00045285,0.00045285
140,1129.58,0.82661,0.62503,1.14516,0.74805,0.66061,0.65235,0.46724,1.19685,1.0866,1.63491,0.000445777,0.000445777,0.000445777
141,1137.51,0.69305,0.54342,1.03519,0.71458,0.62363,0.64004,0.45799,1.18884,1.13846,1.6097,0.000438703,0.000438703,0.000438703
142,1145.26,0.73815,0.53784,1.05007,0.71992,0.58587,0.61388,0.44871,1.19268,1.19651,1.59573,0.000431629,0.000431629,0.000431629
143,1153.12,0.72151,0.53608,1.12763,0.71992,0.58587,0.61388,0.44871,1.19268,1.19651,1.59573,0.000424556,0.000424556,0.000424556
144,1160.97,0.71747,0.55143,1.06985,0.77631,0.5507,0.59891,0.43999,1.20947,1.29704,1.60908,0.000417482,0.000417482,0.000417482
145,1169.02,0.73558,0.50367,1.03058,0.67078,0.55275,0.59936,0.44438,1.18215,1.28992,1.58127,0.000410409,0.000410409,0.000410409
146,1177,0.78007,0.55815,1.08311,0.71654,0.53708,0.5992,0.44424,1.14945,1.29632,1.56006,0.000403335,0.000403335,0.000403335
147,1184.78,0.75433,0.55684,1.15139,0.71654,0.53708,0.5992,0.44424,1.14945,1.29632,1.56006,0.000396262,0.000396262,0.000396262
148,1192.67,0.69975,0.52895,1.03754,0.60714,0.58333,0.61344,0.45588,1.13566,1.3083,1.56027,0.000389188,0.000389188,0.000389188
149,1200.51,0.70813,0.5717,1.02994,0.84594,0.44939,0.61359,0.44495,1.17657,1.33738,1.57334,0.000382115,0.000382115,0.000382115
150,1208.64,0.74683,0.58111,1.07376,0.71261,0.56529,0.6151,0.44271,1.24827,1.33458,1.61385,0.000375041,0.000375041,0.000375041
151,1216.55,0.60403,0.46387,1.00426,0.71261,0.56529,0.6151,0.44271,1.24827,1.33458,1.61385,0.000367967,0.000367967,0.000367967
152,1224.57,0.67527,0.47346,1.00693,0.72808,0.55333,0.62335,0.44634,1.24432,1.30621,1.59256,0.000360894,0.000360894,0.000360894
153,1232.52,0.7343,0.53612,1.05769,0.85064,0.53705,0.63615,0.46644,1.22444,1.2398,1.58048,0.00035382,0.00035382,0.00035382
154,1240.27,0.67546,0.48482,1.00621,0.80867,0.56533,0.65115,0.46444,1.23335,1.19517,1.59704,0.000346747,0.000346747,0.000346747
155,1248.22,0.6714,0.47022,0.99402,0.80867,0.56533,0.65115,0.46444,1.23335,1.19517,1.59704,0.000339673,0.000339673,0.000339673
156,1256.14,0.68604,0.49496,1.01738,0.81369,0.60689,0.66905,0.48762,1.14471,1.10103,1.52431,0.0003326,0.0003326,0.0003326
157,1264.65,0.66311,0.5641,1.07621,0.85667,0.61024,0.68353,0.50723,1.11524,0.97639,1.49137,0.000325526,0.000325526,0.000325526
158,1273.16,0.715,0.58804,1.11959,0.82323,0.61452,0.68413,0.52563,1.13773,1.00805,1.50513,0.000318453,0.000318453,0.000318453
159,1281.59,0.69259,0.49755,1.05891,0.82323,0.61452,0.68413,0.52563,1.13773,1.00805,1.50513,0.000311379,0.000311379,0.000311379
160,1293.23,0.62884,0.45857,1.01784,0.84022,0.59479,0.67751,0.51578,1.17431,1.04977,1.51538,0.000304306,0.000304306,0.000304306
161,1301.13,0.69248,0.53528,1.04149,0.7282,0.60679,0.66353,0.51201,1.14193,1.07588,1.4835,0.000297232,0.000297232,0.000297232
162,1309.08,0.70083,0.53104,1.01033,0.66799,0.62037,0.65734,0.51058,1.11175,1.13842,1.46063,0.000290158,0.000290158,0.000290158
163,1317.21,0.66428,0.49143,1.03216,0.66799,0.62037,0.65734,0.51058,1.11175,1.13842,1.46063,0.000283085,0.000283085,0.000283085
164,1325.17,0.63335,0.47203,1.04162,0.66124,0.6323,0.66609,0.50453,1.14759,1.15898,1.50447,0.000276011,0.000276011,0.000276011
165,1332.93,0.60449,0.47133,0.99933,0.67385,0.62233,0.65959,0.4877,1.17121,1.14947,1.52789,0.000268938,0.000268938,0.000268938
166,1340.83,0.66014,0.49775,1.02763,0.81934,0.58991,0.65601,0.49206,1.16612,1.13908,1.51141,0.000261864,0.000261864,0.000261864
167,1348.65,0.61592,0.4533,0.98654,0.81934,0.58991,0.65601,0.49206,1.16612,1.13908,1.51141,0.000254791,0.000254791,0.000254791
168,1356.76,0.59976,0.46571,1.02034,0.84387,0.57121,0.65295,0.49099,1.14591,1.15499,1.4826,0.000247717,0.000247717,0.000247717
169,1364.73,0.61223,0.43963,0.99364,0.7911,0.60003,0.65696,0.49985,1.14722,1.15229,1.47995,0.000240644,0.000240644,0.000240644
170,1372.74,0.55638,0.42903,0.9856,0.76752,0.60283,0.65965,0.5052,1.13326,1.14634,1.46341,0.00023357,0.00023357,0.00023357
171,1380.61,0.60231,0.45936,0.99365,0.76752,0.60283,0.65965,0.5052,1.13326,1.14634,1.46341,0.000226497,0.000226497,0.000226497
172,1388.35,0.66995,0.47856,1.0335,0.85702,0.58528,0.66371,0.50506,1.11128,1.10741,1.461,0.000219423,0.000219423,0.000219423
173,1396.28,0.68749,0.47674,1.0381,0.87925,0.58929,0.67044,0.51295,1.09977,1.06761,1.46268,0.000212349,0.000212349,0.000212349
174,1404.17,0.56788,0.4125,0.98648,0.8913,0.60867,0.67431,0.51408,1.08471,1.02011,1.46305,0.000205276,0.000205276,0.000205276
175,1412.22,0.59089,0.4829,1.01991,0.8913,0.60867,0.67431,0.51408,1.08471,1.02011,1.46305,0.000198202,0.000198202,0.000198202
176,1420.65,0.61981,0.40518,0.95933,0.92506,0.60306,0.67649,0.51606,1.09235,1.04533,1.46973,0.000191129,0.000191129,0.000191129
177,1428.39,0.58654,0.44368,1.01193,0.94196,0.60623,0.67445,0.5098,1.11137,1.10438,1.47953,0.000184055,0.000184055,0.000184055
178,1436.31,0.54236,0.39501,0.93589,0.84776,0.60319,0.66252,0.50269,1.10763,1.18222,1.46803,0.000176982,0.000176982,0.000176982
179,1444.15,0.61192,0.43547,1.00293,0.84776,0.60319,0.66252,0.50269,1.10763,1.18222,1.46803,0.000169908,0.000169908,0.000169908
